company,type,address,gu,dong
백양염색,폐수배출업소관리,서울특별시 종로구 창신동 421-1번지 ,종로구,창신동
또래도금,폐수배출업소관리,서울특별시 종로구 봉익동 9-1번지 ,종로구,봉익동
새하얀,폐수배출업소관리,서울특별시 종로구 봉익동 40-1번지 ,종로구,봉익동
선경도금,폐수배출업소관리,서울특별시 종로구 봉익동 38-13번지 (2층) ,종로구,봉익동
보람,폐수배출업소관리,서울특별시 종로구 묘동 78번지 ,종로구,묘동
이태리도금,폐수배출업소관리,서울특별시 종로구 봉익동 38-9번지 ,종로구,봉익동
선도금,폐수배출업소관리,서울특별시 종로구 봉익동 134번지 ,종로구,봉익동
프로방스쥬얼리,폐수배출업소관리,서울특별시 종로구 봉익동 11-6번지 ,종로구,봉익동
샤론도금,폐수배출업소관리,서울특별시 종로구 봉익동 12-4번지 ,종로구,봉익동
유진염색,폐수배출업소관리,서울특별시 종로구 종로5가 248-2번지 ,종로구,종로5가
인디안염색사,폐수배출업소관리,서울특별시 종로구 종로5가 446번지 ,종로구,종로5가
중앙염색,폐수배출업소관리,서울특별시 종로구 종로5가 447번지 ,종로구,종로5가
선경섬유,폐수배출업소관리,서울특별시 종로구 종로5가 460-2번지 ,종로구,종로5가
태평양염색,폐수배출업소관리,서울특별시 종로구 종로5가 444-3번지 1층 ,종로구,종로5가
진흥염색,폐수배출업소관리,서울특별시 종로구 종로5가 465번지 ,종로구,종로5가
성신염색,폐수배출업소관리,서울특별시 종로구 종로5가 456-2번지 1층 ,종로구,종로5가
협동염색,폐수배출업소관리,서울특별시 종로구 종로5가 473번지 ,종로구,종로5가
한국섬유,폐수배출업소관리,서울특별시 종로구 종로5가 460-1번지 ,종로구,종로5가
삼원염색,폐수배출업소관리,서울특별시 종로구 종로5가 484번지 ,종로구,종로5가
(주)두양,폐수배출업소관리,서울특별시 종로구 종로6가 240-3번지 ,종로구,종로6가
컴퓨터도금,폐수배출업소관리,서울특별시 종로구 봉익동 117-2번지 301호 ,종로구,봉익동
양지사,폐수배출업소관리,서울특별시 종로구 봉익동 117-2번지 ,종로구,봉익동
건후사,폐수배출업소관리,서울특별시 종로구 봉익동 104번지 ,종로구,봉익동
홍콩멕기,폐수배출업소관리,서울특별시 종로구 묘동 33번지 2층 ,종로구,묘동
덕흥기념사,폐수배출업소관리,서울특별시 종로구 묘동 30-1번지 ,종로구,묘동
청지,폐수배출업소관리,서울특별시 종로구 봉익동 118-1번지 ,종로구,봉익동
선경섬유,폐수배출업소관리,서울특별시 종로구 종로5가 460-2번지 ,종로구,종로5가
월드염색,폐수배출업소관리,서울특별시 종로구 종로6가 239-29번지 ,종로구,종로6가
종암염색,폐수배출업소관리,서울특별시 종로구 종로5가 471번지 ,종로구,종로5가
신아염색,폐수배출업소관리,서울특별시 종로구 종로6가 34번지 ,종로구,종로6가
혜화카프라자,폐수배출업소관리,서울특별시 종로구 명륜1가 32-2번지 ,종로구,명륜1가
원도금,폐수배출업소관리,서울특별시 종로구 연지동 59번지 3층 ,종로구,연지동
서울적십자 병원,폐수배출업소관리,서울특별시 종로구 평동 164번지 ,종로구,평동
또래도금,폐수배출업소관리,서울특별시 종로구 봉익동 9-1번지 ,종로구,봉익동
새하얀,폐수배출업소관리,서울특별시 종로구 봉익동 40-1번지 ,종로구,봉익동
선경도금,폐수배출업소관리,서울특별시 종로구 봉익동 38-13번지 (2층) ,종로구,봉익동
이태리도금,폐수배출업소관리,서울특별시 종로구 봉익동 38-9번지 ,종로구,봉익동
선도금,폐수배출업소관리,서울특별시 종로구 봉익동 134번지 ,종로구,봉익동
보람,폐수배출업소관리,서울특별시 종로구 묘동 78번지 ,종로구,묘동
샤론도금,폐수배출업소관리,서울특별시 종로구 봉익동 12-4번지 ,종로구,봉익동
프로방스쥬얼리,폐수배출업소관리,서울특별시 종로구 봉익동 11-6번지 ,종로구,봉익동
청운자동차공업사,폐수배출업소관리,서울특별시 종로구 누하동 184-4번지 ,종로구,누하동
원도금,폐수배출업소관리,서울특별시 종로구 연지동 59번지 3층 ,종로구,연지동
동남문화사,폐수배출업소관리,서울특별시 종로구 창신동 330-24번지 ,종로구,창신동
청와대 제 101 경비단,폐수배출업소관리,서울특별시 종로구 궁정동 8-1번지 ,종로구,궁정동
보람,폐수배출업소관리,서울특별시 종로구 묘동 78번지 ,종로구,묘동
샤론도금,폐수배출업소관리,서울특별시 종로구 봉익동 12-4번지 ,종로구,봉익동
프로방스쥬얼리,폐수배출업소관리,서울특별시 종로구 봉익동 11-6번지 ,종로구,봉익동
또래도금,폐수배출업소관리,서울특별시 종로구 봉익동 9-1번지 ,종로구,봉익동
