company,type,address,gu,dong,,,,,,,
(주)한국경제신문,폐수배출업소관리,서울특별시 중구 중림동 441번지 ,중구,중림동,,,,,,,
(주)조선일보사,폐수배출업소관리,서울특별시 중구 정동 1-16번지 ,중구,정동,,,,,,,
효성사,폐수배출업소관리,서울특별시 중구 인현동1가 82-2번지 ,중구,인현동1가,,,,,,,
(주)프린트시티,폐수배출업소관리,서울특별시 중구 인현동1가 66번지 외 3필지 4층 ,중구,인현동1가,,,,,,3필지,4층
미래염색,폐수배출업소관리,서울특별시 중구 을지로6가 33번지 ,중구,을지로6가,,,,,,,
유일정판사,폐수배출업소관리,서울특별시 중구 인현동1가 70-5번지 ,중구,인현동1가,,,,,,,
서영기획,폐수배출업소관리,서울특별시 중구 오장동 69-56번지 ,중구,오장동,,,,,,,
진성C&C,폐수배출업소관리,서울특별시 중구 인현동2가 135-32번지 세광빌딩 3층 ,중구,인현동2가,,,,,,3층,
현대염색,폐수배출업소관리,서울특별시 중구 주교동 102-1번지 ,중구,주교동,,,,,,,
(주)광일동판사,폐수배출업소관리,서울특별시 중구 인현동1가 73번지 ,중구,인현동1가,,,,,,,
엘앤에스,폐수배출업소관리,서울특별시 중구 저동2가 47-2번지 ,중구,저동2가,,,,,,,
(주)용일프린팅,폐수배출업소관리,서울특별시 중구 예관동 126번지 예관빌딩12층 ,중구,예관동,,,,,,,
신화,폐수배출업소관리,서울특별시 중구 저동2가 47-3번지 2층 ,중구,저동2가,,,,,,,
대신D&P,폐수배출업소관리,서울특별시 중구 충무로3가 24-16번지 (4층) ,중구,충무로3가,,,,,,,
주신그래픽스,폐수배출업소관리,서울특별시 중구 충무로3가 25-17번지 (2층) ,중구,충무로3가,,,,,,,
대성출력센타,폐수배출업소관리,서울특별시 중구 충무로3가 56-24번지 ,중구,충무로3가,,,,,,,
대광특수인쇄,폐수배출업소관리,서울특별시 중구 충무로3가 58-9번지 ,중구,충무로3가,,,,,,,
충무알쓰리,폐수배출업소관리,서울특별시 중구 충무로3가 56-24번지 상강빌딩2층 ,중구,충무로3가,,,,,,,
태광원색,폐수배출업소관리,서울특별시 중구 충무로4가 15-22번지 ,중구,충무로4가,,,,,,,
유진피앤비,폐수배출업소관리,서울특별시 중구 충무로4가 15-16번지 (2층) ,중구,충무로4가,,,,,,,
동양문화인쇄사,폐수배출업소관리,서울특별시 중구 초동 38 39-1번지 (2층) ,중구,초동,,,,,,(2층),
삼광사,폐수배출업소관리,서울특별시 중구 인현동1가 133-2번지 ,중구,인현동1가,,,,,,,
명동문예사,폐수배출업소관리,서울특별시 중구 인현동1가 124-2번지 ,중구,인현동1가,,,,,,,
지앤피,폐수배출업소관리,서울특별시 중구 인현동1가 97-2번지 ,중구,인현동1가,,,,,,,
한백,폐수배출업소관리,서울특별시 중구 흥인동 62-1번지 ,중구,흥인동,,,,,,,
인제대학교부속백병원,폐수배출업소관리,서울특별시 중구 저동2가 85번지 ,중구,저동2가,,,,,,,
의료법인삼성의료재단강북삼성태평로의원,폐수배출업소관리,서울특별시 중구 태평로2가 250번지 삼성본관지하1층 ,중구,태평로2가,,,,,,,
서울송도병원,폐수배출업소관리,서울특별시 중구 신당동 366-144번지 ,중구,신당동,,,,,,,
국립중앙의료원,폐수배출업소관리,서울특별시 중구 을지로6가 18-79번지 ,중구,을지로6가,,,,,,,
일신염색,폐수배출업소관리,서울특별시 중구 주교동 289번지 ,중구,주교동,,,,,,,
동국염색,폐수배출업소관리,서울특별시 중구 주교동 286-3번지 ,중구,주교동,,,,,,,
삼우염색,폐수배출업소관리,서울특별시 중구 주교동 232번지 ,중구,주교동,,,,,,,
미래염색,폐수배출업소관리,서울특별시 중구 을지로6가 33번지 ,중구,을지로6가,,,,,,,
현대염색,폐수배출업소관리,서울특별시 중구 주교동 102-1번지 ,중구,주교동,,,,,,,
(의)제일의료재단제일병원,폐수배출업소관리,서울특별시 중구 충무로5가 52-25번지 ,중구,충무로5가,,,,,,,
